"","f","m","pb","juv","sub","ad","fpb","fjuv","fsub","fad","mpb","mjuv","msub","mad"
"f",NA,0.433434067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"m",0.701562417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pb",NA,NA,NA,0.085001342,0.387712725,0.013222283,NA,0.1071376,0.376904591666667,0.00653288333333333,NA,NA,NA,NA
"juv",NA,NA,0.077795908,NA,0.06522225,3.33333333333333e-07,NA,NA,NA,NA,NA,NA,NA,NA
"sub",NA,NA,0.36223785,0.067452942,NA,0.098845175,NA,NA,NA,NA,NA,NA,NA,NA
"ad",NA,NA,0.029215458,1.15833333333333e-06,0.228576433,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fpb",NA,NA,NA,NA,NA,NA,NA,0.073300575,0.302068533,0.030416533,0.259220508,0.014810825,0.227123208,0.084434717
"fjuv",NA,NA,0.056210025,NA,NA,NA,0.052768208,NA,0.040432208,0.000131275,0.07885265,0.13749245,0.116045508,0.001581808
"fsub",NA,NA,0.341780833333333,NA,NA,NA,0.363076417,0.072563692,NA,0.042669275,0.228020758,0.006982408,0.432178125,0.160106158
"fad",NA,NA,0.0193290833333333,NA,NA,NA,0.127393117,0.00096085,0.1420967,NA,0.002395717,0,0.183774733,0.451022117
"mpb",NA,NA,NA,NA,NA,NA,0.420779642,0.177050775,0.310634133,0.000843558,NA,0.069824092,0.31232035,0.010597933
"mjuv",NA,NA,NA,NA,NA,NA,0.052929242,0.674418858,0.020744858,0,0.147338992,NA,0.167737083,9.325e-06
"msub",NA,NA,NA,NA,NA,NA,0.269271667,0.190283242,0.417580475,0.050246967,0.225305208,0.053578258,NA,0.144688533
"mad",NA,NA,NA,NA,NA,NA,0.150650692,0.004409683,0.229663492,0.20329255,0.011331158,1.95e-06,0.22354055,NA
